filepath,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
image32.jpg,112.0,35.0,583.0,35.0,600.0,435.0,105.0,444.0
image1082.jpg,101.0,270.0,885.0,272.0,872.0,1060.0,105.0,1053.0
image125.jpg,13.0,11.0,409.0,0.0,423.0,415.0,10.0,427.0
image50.jpg,41.0,10.0,552.0,4.0,568.0,443.0,30.0,446.0
image188.jpg,14.0,10.0,534.0,9.0,538.0,447.0,20.0,457.0
image155.jpg,92.0,10.0,543.0,15.0,543.0,465.0,84.0,470.0
image1005.jpg,52.0,442.0,791.0,441.0,792.0,1155.0,58.0,1177.0
image200.jpg,96.0,12.0,537.0,6.0,556.0,467.0,101.0,472.0
image28.jpg,133.0,27.0,574.0,35.0,579.0,478.0,122.0,477.0
image100.jpg,28.0,7.0,436.0,1.0,441.0,429.0,28.0,429.0
image98.jpg,42.0,21.0,455.0,16.0,456.0,448.0,40.0,446.0
image118.jpg,32.0,97.0,472.0,89.0,478.0,455.0,35.0,462.0
image183.jpg,12.0,22.0,561.0,20.0,555.0,468.0,21.0,479.0
image157.jpg,104.0,14.0,547.0,21.0,550.0,465.0,94.0,467.0
image171.jpg,81.0,22.0,518.0,28.0,516.0,460.0,78.0,462.0
image80.jpg,23.0,10.0,520.0,10.0,528.0,421.0,29.0,440.0
image18.jpg,133.0,27.0,574.0,35.0,579.0,478.0,122.0,477.0
image128.jpg,22.0,15.0,407.0,5.0,417.0,411.0,11.0,419.0
image119.jpg,15.0,4.0,479.0,2.0,483.0,390.0,26.0,403.0
image85.jpg,21.0,22.0,534.0,25.0,528.0,449.0,26.0,454.0
image11.jpg,82.0,13.0,585.0,17.0,598.0,437.0,82.0,447.0
image163.jpg,84.0,6.0,532.0,6.0,542.0,454.0,83.0,460.0
image16.jpg,67.0,24.0,568.0,23.0,577.0,447.0,61.0,458.0
image192.jpg,44.0,23.0,546.0,26.0,547.0,451.0,42.0,459.0
image165.jpg,78.0,11.0,526.0,12.0,532.0,457.0,79.0,464.0
image1009.jpg,90.0,279.0,899.0,302.0,898.0,1079.0,117.0,1091.0
image198.jpg,123.0,4.0,551.0,19.0,548.0,444.0,109.0,441.0
image30.jpg,100.0,32.0,584.0,34.0,600.0,442.0,92.0,449.0
image51.jpg,137.0,20.0,568.0,25.0,571.0,472.0,132.0,473.0
image109.jpg,100.0,25.0,589.0,30.0,600.0,442.0,98.0,448.0
image22.jpg,24.0,16.0,396.0,5.0,409.0,396.0,15.0,407.0
image101.jpg,37.0,12.0,446.0,7.0,449.0,436.0,34.0,435.0
image159.jpg,109.0,8.0,552.0,15.0,553.0,457.0,99.0,457.0
image145.jpg,89.0,14.0,533.0,20.0,537.0,453.0,93.0,465.0
image1036.jpg,151.0,88.0,956.0,59.0,983.0,864.0,117.0,928.0
image161.jpg,92.0,18.0,537.0,16.0,549.0,462.0,91.0,471.0
image184.jpg,13.0,14.0,563.0,14.0,555.0,466.0,22.0,475.0
image148.jpg,92.0,14.0,531.0,26.0,532.0,459.0,88.0,465.0
image13.jpg,63.0,27.0,581.0,30.0,587.0,466.0,50.0,479.0
image1.jpg,40.0,11.0,579.0,14.0,591.0,463.0,45.0,474.0
image199.jpg,34.0,9.0,571.0,10.0,588.0,459.0,30.0,479.0
image8.jpg,64.0,17.0,581.0,19.0,592.0,447.0,66.0,463.0
image175.jpg,40.0,6.0,481.0,12.0,488.0,448.0,49.0,457.0
image139.jpg,14.0,19.0,514.0,20.0,517.0,436.0,16.0,449.0
image93.jpg,12.0,24.0,441.0,25.0,451.0,451.0,20.0,463.0
image172.jpg,75.0,11.0,514.0,17.0,509.0,447.0,71.0,449.0
image140.jpg,18.0,17.0,517.0,20.0,520.0,433.0,22.0,447.0
image191.jpg,32.0,24.0,541.0,27.0,543.0,453.0,32.0,463.0
image1011.jpg,59.0,360.0,850.0,347.0,891.0,1184.0,44.0,1164.0
image116.jpg,45.0,81.0,484.0,87.0,487.0,464.0,34.0,467.0
image136.jpg,33.0,37.0,507.0,40.0,517.0,445.0,22.0,452.0
image83.jpg,25.0,3.0,561.0,9.0,552.0,447.0,38.0,452.0
image19.jpg,20.0,10.0,399.0,0.0,411.0,392.0,14.0,403.0
image162.jpg,76.0,14.0,524.0,11.0,536.0,459.0,74.0,469.0
image168.jpg,93.0,10.0,536.0,17.0,535.0,461.0,84.0,459.0
image91.jpg,166.0,67.0,547.0,52.0,555.0,446.0,168.0,442.0
image169.jpg,88.0,12.0,530.0,16.0,531.0,458.0,80.0,458.0
image102.jpg,38.0,11.0,447.0,5.0,450.0,432.0,36.0,433.0
image111.jpg,60.0,19.0,552.0,17.0,562.0,431.0,51.0,445.0
image158.jpg,103.0,8.0,547.0,14.0,550.0,459.0,95.0,460.0
image166.jpg,92.0,13.0,537.0,17.0,539.0,463.0,85.0,465.0
image173.jpg,46.0,12.0,486.0,14.0,491.0,450.0,47.0,458.0
image40.jpg,87.0,22.0,590.0,19.0,599.0,440.0,85.0,444.0
image44.jpg,74.0,22.0,571.0,21.0,591.0,442.0,75.0,460.0
image73.jpg,34.0,9.0,571.0,10.0,588.0,459.0,30.0,479.0
